text,line,length,shot
"good length outside off, blocked",Outside Off,Good Length,Defend
"full outside off, pushed to mid-off",Outside Off,Full,Unknown
"full, wide, driven past the left of cover, beats mid-off chasing it comfortably",Unknown,Full,Drive
"short of a length, opens the face and runs down to third man",Unknown,Short,Unknown
shuffles and blocks to mid-off,Unknown,Unknown,Defend
"cuts in from a back of a length, waits and opens the face and finds short third man",Unknown,Short,Cut
"short of a length, cuts in, defended to point with an open face",Unknown,Short,Cut
defended into the off side off the front foot,Unknown,Unknown,Defend
"floated up outside off, crunches a drive to the right of sweeper",Outside Off,Unknown,Drive
"short of a length, spinning in, backs away and punches to cover",Unknown,Short,Unknown
"full on off, defended back",Off Stump,Full,Defend
turns in to go to midwicket off the inside edge as he comes forward and defends,Unknown,Unknown,Defend
"full on middle and off, defended into cover",Off Stump,Full,Defend
tries to tuck away and wears it on the pad as it goes to short fine,Unknown,Short,Unknown
tries to heave a pull and makes no contact as it drifts down leg,Down Leg,Unknown,Pull
"tossed up on middle, a half-sweep to backward square leg",Middle Stump,Unknown,Sweep
"floated up on middle and off, driven to sweeper cover",Off Stump,Unknown,Drive
"slid across full outside off, too much room, and Lewis crunches a drive through the covers",Outside Off,Full,Drive
stays back and flicks to backward square leg,Unknown,Unknown,Flick
"shortish, heaves a pull into the gap at square leg and beats three fielders running towards it",Unknown,Unknown,Pull
stays in the crease and blocks,Unknown,Unknown,Defend
"drifts away a full delivery from around the stumps, Lewis slices a drive between point and short third man",Unknown,Full,Drive
"drills this drive to cover point, good work there",Unknown,Unknown,Drive
"skiddy short ball on the stumps, punched back to the bowler",Unknown,Short,Unknown
punches this shortish delivery on middle past midwicket,Middle Stump,Unknown,Unknown
"<b> another miscommunication, but they're safe. </b> Punched wide of the bowler, Lewis wanted the single, Hope didn't. Short cover did well to run across to his left quickly to stop that",Unknown,Short,Unknown
"short on middle and leg, helps this straight to short fine",Middle Stump,Short,Unknown
"nice flight on middle, he lunges forward and defends to get a thick inside edge towards short fine leg",Middle Stump,Short,Defend
"superb from Raza. Put down Lewis early, but this is a stunning effort, full stretch to his right to pull off a one-handed stop. That was drilled hard by Hope. Efforts like these will help build pressure",Unknown,Full,Pull
"touch short on middle and leg, worked wide of midwicket",Middle Stump,Short,Unknown
"<strong>half-tracker and dispatched!</strong> Picked the length early, rocked back to open up the leg side and walloped this to the deep midwicket boundary",Down Leg,Unknown,Unknown
"drifts into middle and leg, punched to deep midwicket",Middle Stump,Unknown,Unknown
"there's cover, there's cover point and he pierces this to get to a superb half-century. This is short and drifting away, he goes back deep into the crease and punches this into the gap. Stunning. <b> 2nd ODI fifty. </b> He's deviated from his natural game and allowed himself the time to dig in. Can he carry on?",Unknown,Short,Unknown
goes back and defends this short ball towards cover,Unknown,Short,Defend
"fired full outside off, squeezes this drive to the right of deep point, back for the second comfortably",Outside Off,Full,Drive
"helps this behind square on the leg side. This is too short, he swivelled back and put that away without much fuss. Can't bowl there.",Down Leg,Short,Unknown
driven hard but straight to cover,Unknown,Unknown,Drive
"hint of width outside off, punched towards deep point",Outside Off,Unknown,Unknown
"another loose delivery, lucky to get away as he pulls this half-tracker straight to deep backward square leg",Unknown,Unknown,Pull
"skids on after pitching at length outside off, defended to point",Outside Off,Unknown,Defend
gets away with a short ball. Cuts straight to point,Unknown,Short,Cut
shapes to drive but is beaten by the drift.,Unknown,Unknown,Drive
"touch short, he steers this wide of point as they scamper a quick single",Unknown,Short,Unknown
"nice flight and drift back into middle from around the stumps, Lewis defends from the crease",Middle Stump,Unknown,Defend
"nice flight, lands this on off stump, he lunges forward and defends",Off Stump,Unknown,Defend
"hint of turn from off stump, he gets a good stride in and dabs this gently into the off side, <strong>lots of miscommunication again. Happening for the third time</strong>",Off Stump,Unknown,Unknown
defends from the crease. This was fired full and flat on off stump,Off Stump,Full,Defend
works this gently with the spin past short fine leg,Unknown,Short,Unknown
"tossed up on off stump, defended back with soft hands.",Off Stump,Unknown,Defend
"flatter one on middle and leg, works this to deep square leg",Middle Stump,Unknown,Unknown
lunges forward to drive this on the up but is beaten by the drift. <strong>Lovely bowling from Raza</strong>,Unknown,Unknown,Drive
"slow turn from off stump, he looks to force this through cover, ends up chopping it to the keeper on the bounce",Off Stump,Unknown,Unknown
right to the pitch as he drives to deep cover,Unknown,Unknown,Drive
works this from middle to deep square leg,Middle Stump,Unknown,Unknown
driven wide of the diving cover fielder,Unknown,Unknown,Drive
"accurate stuff again, touch ahead of length on off stump, bunted wide of cover",Off Stump,Unknown,Unknown
punches this short ball to point,Unknown,Short,Unknown
"tossed up on off stump, eased down to long-off",Off Stump,Unknown,Unknown
"drags a short ball on middle, he rocks back and powers this pull to beat the midwicket fielder.",Middle Stump,Short,Pull
"nicely tossed up on middle and leg, he gets a good stride forward and works this back towards the bowler",Middle Stump,Unknown,Unknown
"tossed up on middle, he lunges forward and blocks.",Middle Stump,Unknown,Defend
drills this drive to long-off,Unknown,Unknown,Drive
"touch short on middle and leg, whips this to deep midwicket",Middle Stump,Short,Unknown
"nice flight, angling into middle and leg, defended towards short midwicket",Middle Stump,Short,Defend
"drifting into the pads, tucks this behind square on the leg side",Down Leg,Unknown,Unknown
"<b> the wheels are starting to come off or what? </b? The deep square leg fielder lets this through his legs. This was a poor ball to begin with, too short, he rocked back and powered the pull. What should've been a single is now a boundary.",Unknown,Short,Pull
"too full outside off, driven to point Excellent work by Masakadza",Outside Off,Full,Drive
"fires this length ball in from around the stumps, defended with soft hands.",Unknown,Unknown,Defend
"hit-me buffet ball outside off, he rocks back to open up the off side and cuts this behind point. Poor bowling",Outside Off,Unknown,Cut
"slower length ball on off stump, bunted to cover.",Off Stump,Unknown,Unknown
right behind the line as he defends again.,Unknown,Unknown,Defend
"drifts in a quicker ball that skids on from middle and leg, he's hit on the thigh pad in trying to work this square on the leg side",Middle Stump,Unknown,Loft/Smash
"shortens his length on middle, punched to long-on",Middle Stump,Unknown,Unknown
"slows it down nicely, Samuels waits inside the crease and blocks",Unknown,Unknown,Defend
"drops short, he rocks back and hammers this pull to deep midwicket",Unknown,Short,Pull
"tossed up on middle and leg, Hope gets forward and smothers the spin",Middle Stump,Unknown,Unknown
"slider on middle and leg from around the stumps, defended.",Middle Stump,Unknown,Defend
"hint of turn from length on off stump, defended back",Off Stump,Unknown,Defend
"plays the short-arm jab towards deep square leg, they saunter back for the second",Unknown,Short,Unknown
"fired full on off, eased to cover",Off Stump,Full,Unknown
"short down leg, he swivels back and pulls to deep square leg",Down Leg,Short,Pull
"stifled appeal as he's hit on the pad, but the ball was sliding down leg.",Down Leg,Unknown,Loft/Smash
turns this gently behind square on the leg side for an easy single,Down Leg,Unknown,Unknown
"fired full on middle and leg, worked behind square on the leg side again",Middle Stump,Full,Unknown
right forward as he defends this,Unknown,Unknown,Defend
"excellent work at deep extra cover, but is it a boundary? Looks like he may have pulled the ball back in just before hitting the ropes. This was dropped short and he crashed it hard",Unknown,Short,Pull
play and a miss. Shaped to cut but this drifted back in to cramp him for room,Unknown,Unknown,Cut
"hint of width, he uses the depth of the crease to steer this towards short third man",Unknown,Short,Unknown
"full outside off, pushed back",Outside Off,Full,Unknown
"pitched up on the stumps, eased down to long-on",Unknown,Full,Unknown
"short of a length, spins away, punched to sweeper cover",Unknown,Short,Unknown
"short, rocks back and pulls away to deep midwicket",Unknown,Short,Pull
"pitched up on middle and leg, driven back",Middle Stump,Full,Drive
"back of a length on middle, flicked to midwicket",Middle Stump,Short,Flick
"flighted on middle and off, driven away to sweeper cover",Off Stump,Unknown,Drive
"short and wide, latches on to a cut through the covers and the sweeper runs across and fields sharply",Unknown,Short,Cut
"arm ball, fired in on a length on middle and leg, hurriedly backs away and keeps it out",Middle Stump,Good Length,Unknown
